ID,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Expected Date,Groups With Access Code,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
33,E85,Western Convenience Store,2387 W 72nd Ave,Denver,CO,80221,E,,Public,,,,,,,,,,200-8,39.8276368,-105.0152257,,,,FALSE,
34,E85,Kroger #587,3939 Frankford Rd,Dallas,TX,75287,E,,Public - Credit card after hours,,,,,,,,,,200-8,32.9982319,-96.8460873,,,,FALSE,
35,ELEC,THE BOEING CO,2060 E.Imperial Highway,El Segundo,CA,90245,E,,Public,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,33.9283012,-118.3896499,,,,,J1772
36,ELEC,Kroger Store #518,5665 E. Mockingbird,Dallas,TX,75206,E,,Public,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,32.837337,-96.770536,,,,,J1772
37,E85,Citgo Smartshop,323 Sagamore Pkwy,Lafayette,IN,47904,E,,Public,,,,,,,,,,200-8,40.420134,-86.857658,,,,FALSE,
38,E85,Mobil On the Run,1710 N Bishop Ave,Rolla,MO,65401,E,,Public,,,,,,,,,,200-8,37.9581251,-91.7733379,,,,FALSE,
39,E85,Stop & Shop,312 1st Ave,Shakopee,MN,55379,E,,Public - Credit card after hours,,,,,,,,,,200-8,44.7981513,-93.5300144,,,,FALSE,
40,ELEC,15 LLC,"3575 Piedmont Road, Building 15",Atlanta,GA,30305,E,,Public,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,33.852522,-84.380658,,,,,J1772
41,ELEC,Waikiki Sand Villa,2375 Ala Wai Blvd,Honolulu,HI,96815,E,,Public,,,,,1,,,,,200-8,21.278842,-157.823158,,,,,J1772
42,E85,Holbrook T & C Citgo,5665 Sunrise Hwy,Holbrook,NY,11741,E,,Public,,,,,,,,,,200-8,40.7683139,-73.071263,,,,FALSE,
43,E85,Thorntons #307,110 W Devon Ave,Wood Dale,IL,60191,E,,Public,,,,,,,,,,200-8,41.992429,-87.980958,,,,FALSE,
44,ELEC,Loyola University - New Orleans,7214 Saint Charles Ave,New Orleans,LA,70115,E,,Private,,,,,1,,,,,200-8,29.9371899,-90.1268944,,,,,J1772
45,CNG,Con Edison - College Point Service Center,124-15 31st Ave,Queens,NY,11354,E,,Public - Card key at all times,,Q,3000,,,,,,,GPS,40.7678,-73.845925,,MD,,,
46,ELEC,RENAISSANCE TWR,1201 Pacific Ave,Dallas,TX,75223,E,,Public,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,32.7819816,-96.8019686,,,,,J1772
47,ELEC,Piolax,139 Etowah Industrial Court,Canton,GA,30114,E,,Public,,,,,4,,,Blink Network,http://www.blinknetwork.com/,GPS,34.2455859,-84.471847,,,,,J1772
48,ELEC,Court Street Ford,558 William Latham Sr Dr,Bourbonnais,IL,60914,E,,Public,,,,,1,,,,,200-8,41.161794,-87.885165,,,,,J1772
49,BD,Piedmont Biofuels - Carrboro Public Works,100 Public Works Dr,Carrboro,NC,27510,E,,Public - Card key after hours,B99.9,,,,,,,,,GPS,35.939414,-79.056994,,,,,
50,ELEC,Roush - Naples,3538 Plover Ave,Naples,FL,34117,E,,Public - Card key at all times,,,,,3,,,,,GPS,26.15823,-81.674971,,,,,J1772
51,E85,Super Pantry #50,1940 S MacArthur Blvd,Springfield,IL,62704,E,,Public,,,,,,,,,,200-8,39.7795424,-89.6682571,,,,FALSE,
52,LPG,U-Haul,75 Division St,Danbury,CT,6810,E,,Public,,,,,,,,,,200-8,41.391202,-73.458418,,,TRUE,,
53,ELEC,Brown & Howell LLC Sunbrite Corner,1590 E Bethany Home Road,Phoenix,AZ,85014,E,,Public,,,,,3,,,Blink Network,http://www.blinknetwork.com/,GPS,33.5239431,-112.0478898,,,,,J1772
54,ELEC,Ken Ganley Nissan,5180 Montville Dr,Medina,OH,44256,E,,Private,,,,,1,,,,,200-8,41.134257,-81.793779,,,,,J1772
55,ELEC,KIRKLAND,348 Kirkland Ave,Kirkland,WA,98033,E,,Public,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,47.6757469,-122.2029724,,,,,NEMA520 J1772
56,LPG,Blossman Gas Inc,102 Mississippi Dr,Waynesboro,MS,39367,E,,Public - Call ahead,,,,,,,,,,200-8,31.6639264,-88.6283224,,,FALSE,,
57,LPG,Ferrellgas,310 Morrow Rd,Sand Springs,OK,74063,E,,Public - Call ahead,,,,,,,,,,200-8,36.1336046,-96.1179891,,,TRUE,,
58,ELEC,Honda Motorwerks,500 4th St,LaCrosse,WI,54601,E,,Public,,,,,1,,,,,200-8,43.808262,-91.252255,,,,,J1772
59,ELEC,SCANSOURCE,6 Logue Ct,Greenville,SC,29615,E,,Public,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,34.8554115,-82.2476654,,,,,NEMA520 J1772
60,E85,Holiday Stationstore #3558,241 US Highway 8,Almena,WI,54805,E,,Public - Credit card after hours,,,,,,,,,,200-8,45.4096385,-92.0345747,,,,FALSE,
61,E85,Meijer Gas #253,7149 E Saginaw St,East Lansing,MI,48823,E,,Public,,,,,,,,,,200-8,42.7704045,-84.4194015,,,,FALSE,
62,E85,Kroger Fuel Center #355,3760 Paxton Ave,Cincinnati,OH,45209,E,,Public - Credit card after hours,,,,,,,,,,200-8,39.1445187,-84.4301209,,,,FALSE,
63,E85,Suzy-Q's Fast Stop,202 Emminga Rd,Golden,IL,62339,E,,Public,,,,,,,,,,GPS,40.108233,-91.028344,,,,FALSE,
64,LPG,AmeriGas,1118 E 5th St,Hawthorne,NV,89415,E,,Public - Call ahead,,,,,,,,,,200-8,38.5244559,-118.6169775,,,FALSE,,
65,ELEC,Round Rock Nissan,3050 N IH-35,Round Rock,TX,78681,E,,Public - Call ahead,,,,,1,,,,,GPS,30.54205,-97.69265,,,,,J1772
66,ELEC,Grapevine Recreational Area,Daltons Drive,Grapevine,TX,76051,E,,Public,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,32.979103,-97.054467,,,,,J1772
67,E85,Kwik Trip #662,3145 Dodd Rd,Eagan,MN,55121,E,,Public,,,,,,,,,,200-8,44.843626,-93.123586,,,,FALSE,
68,ELEC,Roberts Motors,4350 N Alby St,Alton,IL,62002,E,,Public,,,,,1,,,,,200-8,38.9217295,-90.1795597,,,,,J1772
69,CNG,AMP Americas,1606 Exchange Pkwy,Waco,TX,76712,P,6/15/14,PLANNED - not yet accessible (Public - Credit card at all times),,Q,3000 3600,,,,,,,200-8,31.5008835,-97.1734173,,HD,,,
